sep=;
Hersteller:;Pfeiffer-Vacuum
Gerät:;TPG362
Artikelnummer:;PT G28 290
Seriennummer:;44992684
Firmware Version:;010500
Dateiname:;OIPT LA_20250319_061831.csv
Datum / Zeit:;2025-03-19  06:18
Messintervall:;10s
Sensor 1:;PKR
Sensor 2:;KEIN SENSOR
Datum;Zeit;Sensor 1 [mBar];Sensor 2 [mBar];
2025-03-19;07:08:05;4,3323e-08;0,0000e+00;
2025-03-19;07:08:15;4,3171e-08;0,0000e+00;
2025-03-19;07:08:25;4,3105e-08;0,0000e+00;
2025-03-19;07:08:35;4,2994e-08;0,0000e+00;
2025-03-19;07:08:45;4,2942e-08;0,0000e+00;
2025-03-19;07:08:55;4,2881e-08;0,0000e+00;
2025-03-19;07:09:05;4,2800e-08;0,0000e+00;
2025-03-19;07:09:15;4,2764e-08;0,0000e+00;
2025-03-19;07:09:25;4,2650e-08;0,0000e+00;
2025-03-19;07:09:35;4,2578e-08;0,0000e+00;
2025-03-19;07:09:45;4,2506e-08;0,0000e+00;
2025-03-19;07:09:55;4,2498e-08;0,0000e+00;
2025-03-19;07:10:05;4,2423e-08;0,0000e+00;
2025-03-19;07:10:15;4,2370e-08;0,0000e+00;
2025-03-19;07:10:25;4,2274e-08;0,0000e+00;
2025-03-19;07:10:35;4,2235e-08;0,0000e+00;
2025-03-19;07:10:45;4,2175e-08;0,0000e+00;
2025-03-19;07:10:55;4,2148e-08;0,0000e+00;
2025-03-19;07:11:05;4,2035e-08;0,0000e+00;
2025-03-19;07:11:15;4,2025e-08;0,0000e+00;
2025-03-19;07:11:25;4,1973e-08;0,0000e+00;
2025-03-19;07:11:35;4,1902e-08;0,0000e+00;
2025-03-19;07:11:45;4,1902e-08;0,0000e+00;
2025-03-19;07:11:55;4,1848e-08;0,0000e+00;
2025-03-19;07:12:05;4,1727e-08;0,0000e+00;
2025-03-19;07:12:15;4,1699e-08;0,0000e+00;
2025-03-19;07:12:25;4,1678e-08;0,0000e+00;
2025-03-19;07:12:35;4,1616e-08;0,0000e+00;
2025-03-19;07:12:45;4,1555e-08;0,0000e+00;
2025-03-19;07:12:55;4,1505e-08;0,0000e+00;
2025-03-19;07:13:05;4,1480e-08;0,0000e+00;
2025-03-19;07:13:15;4,1450e-08;0,0000e+00;
2025-03-19;07:13:25;4,1361e-08;0,0000e+00;
2025-03-19;07:13:35;4,1352e-08;0,0000e+00;
2025-03-19;07:13:45;4,1322e-08;0,0000e+00;
2025-03-19;07:13:55;4,1236e-08;0,0000e+00;
2025-03-19;07:14:05;4,1168e-08;0,0000e+00;
2025-03-19;07:14:15;4,1177e-08;0,0000e+00;
2025-03-19;07:14:25;4,1101e-08;0,0000e+00;
2025-03-19;07:14:35;4,1087e-08;0,0000e+00;
2025-03-19;07:14:45;4,1018e-08;0,0000e+00;
2025-03-19;07:14:55;4,0987e-08;0,0000e+00;
2025-03-19;07:15:05;4,0972e-08;0,0000e+00;
2025-03-19;07:15:15;4,0906e-08;0,0000e+00;
2025-03-19;07:15:25;4,0872e-08;0,0000e+00;
2025-03-19;07:15:35;4,0870e-08;0,0000e+00;
2025-03-19;07:15:45;4,0822e-08;0,0000e+00;
2025-03-19;07:15:55;4,0752e-08;0,0000e+00;
2025-03-19;07:16:05;4,0716e-08;0,0000e+00;
2025-03-19;07:16:15;4,0718e-08;0,0000e+00;
2025-03-19;07:16:25;4,0674e-08;0,0000e+00;
2025-03-19;07:16:35;4,0628e-08;0,0000e+00;
2025-03-19;07:16:45;4,0606e-08;0,0000e+00;
2025-03-19;07:16:55;4,0524e-08;0,0000e+00;
2025-03-19;07:17:05;4,0526e-08;0,0000e+00;
2025-03-19;07:17:15;4,0444e-08;0,0000e+00;
2025-03-19;07:17:25;4,0432e-08;0,0000e+00;
2025-03-19;07:17:35;4,0424e-08;0,0000e+00;
2025-03-19;07:17:45;4,0375e-08;0,0000e+00;
2025-03-19;07:17:55;4,0345e-08;0,0000e+00;
2025-03-19;07:18:05;4,0269e-08;0,0000e+00;
2025-03-19;07:18:15;4,0273e-08;0,0000e+00;
2025-03-19;07:18:25;4,0246e-08;0,0000e+00;
2025-03-19;07:18:35;4,0245e-08;0,0000e+00;
2025-03-19;07:18:45;4,0232e-08;0,0000e+00;
2025-03-19;07:18:55;4,0211e-08;0,0000e+00;
2025-03-19;07:19:05;4,0152e-08;0,0000e+00;
2025-03-19;07:19:15;4,0113e-08;0,0000e+00;
2025-03-19;07:19:25;4,0062e-08;0,0000e+00;
2025-03-19;07:19:35;4,0013e-08;0,0000e+00;
2025-03-19;07:19:45;4,0001e-08;0,0000e+00;
2025-03-19;07:19:55;3,9989e-08;0,0000e+00;
2025-03-19;07:20:05;3,9937e-08;0,0000e+00;
2025-03-19;07:20:15;3,9958e-08;0,0000e+00;
2025-03-19;07:20:25;3,9907e-08;0,0000e+00;
2025-03-19;07:20:35;3,9905e-08;0,0000e+00;
2025-03-19;07:20:45;3,9892e-08;0,0000e+00;
2025-03-19;07:20:55;3,9852e-08;0,0000e+00;
2025-03-19;07:21:05;3,9799e-08;0,0000e+00;
2025-03-19;07:21:15;3,9804e-08;0,0000e+00;
2025-03-19;07:21:25;3,9781e-08;0,0000e+00;
2025-03-19;07:21:35;3,9717e-08;0,0000e+00;
2025-03-19;07:21:45;3,9699e-08;0,0000e+00;
2025-03-19;07:21:55;3,9659e-08;0,0000e+00;
2025-03-19;07:22:05;3,9661e-08;0,0000e+00;
2025-03-19;07:22:15;3,9648e-08;0,0000e+00;
2025-03-19;07:22:25;3,9658e-08;0,0000e+00;
2025-03-19;07:22:35;3,9611e-08;0,0000e+00;
2025-03-19;07:22:45;3,9587e-08;0,0000e+00;
2025-03-19;07:22:55;3,9568e-08;0,0000e+00;
2025-03-19;07:23:05;3,9569e-08;0,0000e+00;
2025-03-19;07:23:15;3,9519e-08;0,0000e+00;
2025-03-19;07:23:25;3,9492e-08;0,0000e+00;
2025-03-19;07:23:35;3,9507e-08;0,0000e+00;
2025-03-19;07:23:45;3,9458e-08;0,0000e+00;
2025-03-19;07:23:55;3,9416e-08;0,0000e+00;
2025-03-19;07:24:05;3,9395e-08;0,0000e+00;
2025-03-19;07:24:15;3,9405e-08;0,0000e+00;
2025-03-19;07:24:25;3,9365e-08;0,0000e+00;
2025-03-19;07:24:35;3,9357e-08;0,0000e+00;
2025-03-19;07:24:45;3,9278e-08;0,0000e+00;
2025-03-19;07:24:55;3,9290e-08;0,0000e+00;
2025-03-19;07:25:05;3,9314e-08;0,0000e+00;
2025-03-19;07:25:15;3,9244e-08;0,0000e+00;
2025-03-19;07:25:25;3,9294e-08;0,0000e+00;
2025-03-19;07:25:35;3,9261e-08;0,0000e+00;
2025-03-19;07:25:45;3,9222e-08;0,0000e+00;
2025-03-19;07:25:55;3,9215e-08;0,0000e+00;
2025-03-19;07:26:05;3,9189e-08;0,0000e+00;
2025-03-19;07:26:15;3,9160e-08;0,0000e+00;
2025-03-19;07:26:25;3,9173e-08;0,0000e+00;
2025-03-19;07:26:35;3,9161e-08;0,0000e+00;
2025-03-19;07:26:45;3,9122e-08;0,0000e+00;
2025-03-19;07:26:55;3,9080e-08;0,0000e+00;
2025-03-19;07:27:05;3,9098e-08;0,0000e+00;
2025-03-19;07:27:15;3,9084e-08;0,0000e+00;
2025-03-19;07:27:25;3,9090e-08;0,0000e+00;
2025-03-19;07:27:35;3,9068e-08;0,0000e+00;
2025-03-19;07:27:45;3,8996e-08;0,0000e+00;
2025-03-19;07:27:55;3,8982e-08;0,0000e+00;
2025-03-19;07:28:05;3,8989e-08;0,0000e+00;
2025-03-19;07:28:15;3,8962e-08;0,0000e+00;
2025-03-19;07:28:25;3,8939e-08;0,0000e+00;
2025-03-19;07:28:35;3,8961e-08;0,0000e+00;
2025-03-19;07:28:45;3,8887e-08;0,0000e+00;
2025-03-19;07:28:55;3,8904e-08;0,0000e+00;
2025-03-19;07:29:05;3,8898e-08;0,0000e+00;
2025-03-19;07:29:15;3,8879e-08;0,0000e+00;
2025-03-19;07:29:25;3,8845e-08;0,0000e+00;
2025-03-19;07:29:35;3,8828e-08;0,0000e+00;
